Node_ID,x_int,y_int
0,141448,101845
1,34030,175321
2,234851,420737
3,241269,383663
4,195994,217417
5,115716,180728
6,144694,182528
7,71112,393478
8,137523,160500
9,164128,63505
10,38477,56129
11,87788,96856
12,103258,219274
13,191658,197564
14,201381,377752
15,183851,203219
16,196792,281104
17,96413,188014
18,245611,347099
19,216894,92245
20,100450,3766
21,141177,331453
22,187741,35229
23,133993,256766
24,215968,18000
25,123616,198445
26,47589,93904
27,213044,343918
28,244381,219833
29,63900,97117
30,140132,250856
31,233774,111221
32,108845,196171
33,238541,52817
34,92502,402068
35,91937,12361
36,164153,380993
37,121951,173995
38,18553,331996
39,39199,115180
40,15974,276108
41,228648,174711
42,139486,81074
43,57195,106894
44,167770,257775
45,162055,418660
46,57833,40403
47,160482,34216
48,93847,179653
49,187893,300749
50,81744,275124
51,71195,278472
52,185363,1740
53,233273,347436
54,139264,108130
55,11515,277293
56,102997,87301
57,245051,399838
58,227686,328634
59,208227,33990
60,25686,363544
61,244936,263945
62,13949,34669
63,29816,102165
64,111252,119505
65,58470,85651
66,14372,320961
67,144944,335615
68,162881,382078
69,11268,387450
70,190731,389552
71,135437,105778
72,75346,317166
73,152479,301230
74,112591,254130
75,40761,237179
76,232697,256221
77,233141,110536
78,37606,341490
79,89864,402165
80,8067,323442
81,41871,324612
82,223686,339989
83,39528,391667
84,152203,142784
85,23289,362975
86,68133,128973
87,213224,84102
88,223925,31134
89,232342,118998
90,109025,137399
91,151090,318878
92,229726,21686
93,181102,345481
94,84941,17256
95,193545,101813
96,13915,356950
97,161514,145426
98,49451,192342
99,187898,274216
100,220027,55335
101,242699,302816
102,91976,105446
103,230034,353471
104,163862,398751
105,65425,390816
106,51668,391177
107,126205,393196
108,219756,328077
109,131062,88427
110,105792,107932
111,97210,423284
112,125387,169008
113,217689,78172
114,180562,151553
115,40826,15416
116,97048,426731
117,139578,40556
118,83300,269964
119,39073,138910
120,49278,426588
121,5461,108950
122,11994,193707
123,28797,61458
124,152709,274495
125,97923,299806
126,114610,414725
127,230963,347827
128,83257,233497
129,109768,98144
130,121917,147050
131,125338,66153
132,107820,427821
133,96585,213903
134,120454,22564
135,87696,316652
136,151326,203856
137,10042,272113
138,169537,350622
139,133227,346033
140,224211,218020
141,234808,301756
142,39461,72386
143,169853,429392
144,89117,274460
145,119836,237932
146,247572,115220
147,51598,353074
148,107946,191696
149,81419,145630
150,172793,146432
151,215680,416323
152,246094,430730
153,6931,221580
154,81934,78485
155,96187,88724
156,144258,106311
157,208655,166930
158,110362,13918
159,138449,337040
160,121641,78735
161,195860,208088
162,105518,98907
163,214721,54100
164,110034,175564
165,155010,285010
166,69217,10450
167,48602,178316
168,99061,366594
169,40290,273951
170,149951,390566
171,114029,192722
172,203489,220088
173,230412,388275
174,195383,11636
175,42954,321526
176,109363,127348
177,57679,426630
178,141888,375084
179,54551,19740
180,218879,285858
181,84438,106422
182,110570,132756
183,115649,907
184,223712,294889
185,185141,280822
186,19124,159064
187,96852,244604
188,3694,127722
189,247423,12902
190,90982,208181
191,239471,95548
192,56768,125562
193,239825,150128
194,34697,53633
195,171404,325829
196,69563,85206
197,93379,365061
198,4359,239923
199,21997,417273
200,193134,393145
201,75191,101468
202,68423,197748
203,7280,91951
204,228282,280374
205,51794,345599
206,146094,417005
207,55507,196149
208,200188,67352
209,240791,91174
210,240903,211170
211,86813,207879
212,6799,152605
213,117192,285672
214,159229,308546
215,217524,60107
216,98941,82400
217,144732,311388
218,19396,369490
219,143686,188869
220,125474,221037
221,243426,216945
222,237899,351990
223,195064,11671
224,192453,108268
225,26529,155350
226,96045,82616
227,186566,343679
228,6648,31395
229,39011,390246
230,211934,295315
231,227247,179421
232,197439,244108
233,14483,238530
234,54560,242845
235,151000,346995
236,122993,111144
237,136309,317136
238,76261,195328
239,247730,188973
240,45147,302010
241,229308,102134
242,86047,429366
243,6366,234026
244,163062,352634
245,192491,363807
246,55178,404293
247,247212,97132
248,194659,34719
249,225026,412169
250,92317,164396
251,135437,68769
252,29649,413675
253,12646,79215
254,190548,146961
255,157717,288677
256,145483,387890
257,99824,6851
258,140457,19304
259,184661,81103
260,28457,346663
261,40294,217228
262,11437,308029
263,208236,149880
264,40134,-1400
265,42076,80548
266,195807,342963
267,41987,359648
268,59476,153079
269,8595,376249
270,239659,258072
271,245191,111229
272,98253,136497
273,93003,192224
274,7180,85327
275,120598,367944
276,46596,217481
277,49909,205203
278,106767,230097
279,200051,138689
280,196065,42079
281,219412,243455
282,224709,390996
283,176471,270108
284,56304,357261
285,213965,377051
286,29293,75061
287,163868,112375
288,114235,408244
289,153512,412406
290,7186,82987
291,233836,199543
292,47446,298272
293,193829,309916
294,129672,414750
295,180093,350484
296,46483,341204
297,77415,307838
298,228529,144648
299,142300,234055
300,150621,222176
301,202904,391959
302,228139,84074
303,150839,266068
304,185077,165519
305,88018,425725
306,141416,336348
307,142450,365635
308,127866,28804
309,196192,203903
310,163768,272053
311,121274,333827
312,22618,154567
313,163215,138384
314,103417,288128
315,26346,402017
316,12363,298669
317,193957,66685
318,213329,112006
319,65886,340837
320,107013,342737
321,117926,343508
322,17615,20034
323,225148,393003
324,110153,210172
325,73836,170995
326,220045,27682
327,247699,117721
328,107735,125695
329,93997,395100
330,165437,409982
331,72357,235087
332,161704,172547
333,83796,276164
334,85180,119261
335,102977,408876
336,223629,262534
337,35166,235796
338,34570,200748
339,211159,345031
340,202610,404702
341,87562,173125
342,42520,96453
343,33170,260723
344,13388,309614
345,59158,54470
346,224058,271225
347,89508,112102
348,238367,119501
349,215058,360086
350,215358,274705
351,116880,194979
352,106555,100025
353,144126,25159
354,45147,342003
355,54453,375588
356,219433,373232
357,69163,268327
358,60279,143984
359,48016,324868
360,38354,337989
361,134747,423473
362,114903,276155
363,105655,132563
364,111361,189310
365,85163,394591
366,96711,385440
367,40447,417486
368,193713,154031
369,227331,189866
370,149647,88792
371,19775,168107
372,156204,180946
373,23059,190209
374,218211,142701
